date,min_bid,max_ask,mid,volume
2023-12-12,40555.4,43500.0,41716.40966619492,22156450
2023-12-15,41229.0,42423.8,41924.79161885418,17867917
2023-12-16,40533.0,42779.3,41387.62777947066,9290316
2023-12-17,42207.9,44340.8,43348.39952821807,14312496
2023-12-18,43336.7,44282.8,43766.3366576615,22621651
2023-12-23,43442.7,44475.3,43840.82165164542,6950528
2023-12-24,42778.8,43875.0,43427.837337626814,10958700
2023-12-25,42156.4,43718.6,42898.58800386564,10975108
2023-12-27,42322.2,43869.3,42964.17878103253,14187564
2023-12-30,41275.0,43181.4,42434.8731685874,10761124
2023-12-31,41555.1,42650.1,42137.26951966703,9898625
2024-01-01,42205.1,44270.0,42976.56242000123,12547429
2024-01-02,44221.0,45979.8,45282.34140298589,32889751
2024-01-03,40111.0,45579.6,43490.89003268098,47974235
2024-01-04,42632.8,44847.7,43551.575445503215,24313763
2024-01-05,42320.1,44399.9,43748.560302981285,27655211
2024-01-06,43411.9,44221.4,43816.225033494906,8745634
2024-01-07,43599.6,44492.9,44067.78180118798,10803901
2024-01-08,43156.5,47324.4,45049.68433431391,33746388
2024-01-09,44600.0,48038.3,46564.26563838405,40151453
2024-01-10,44311.0,47732.8,45827.37802232827,51257207
2024-01-11,45607.8,49046.9,46774.43498322877,44864426
2024-01-12,41293.5,46547.4,44730.61065523812,36436504
2024-01-13,42411.8,43251.9,42836.58304548376,15368634
2024-01-14,41662.2,43065.7,42634.92635211974,12402889
2024-01-15,41661.0,43387.7,42565.60293300812,15463330
2024-01-16,41999.6,43565.8,42911.358279583794,16608249
2024-01-17,42157.3,43180.0,42657.08785033605,13216114
2024-01-18,40600.7,42884.9,41943.387036187065,20750366
2024-01-19,40224.9,42159.0,41188.626447039314,23537157
2024-01-20,41426.0,41845.2,41586.5626475748,5155929
2024-01-21,41477.8,41863.2,41674.7942996223,4058652
2024-01-22,39298.0,41672.4,40589.20520307451,27226120
2024-01-23,38504.1,40128.5,39225.2815316429,20701112
2024-01-24,39481.6,40544.7,39932.4943543543,13796032
2024-01-25,39522.4,40289.1,39923.65342764327,10349284
2024-01-26,39792.6,42235.0,41033.89778432316,20326621
2024-01-27,41358.2,42192.9,41800.33023462053,7713472
2024-01-28,41614.4,42840.0,42252.81617666893,13462081
2024-01-29,41794.1,43380.0,42548.28227195476,14655551
2024-01-30,42262.6,43742.7,42929.637105041,16241632
2024-02-01,41842.3,43271.5,42463.36524800734,17456292
2024-02-02,42507.5,43454.4,43024.97386262688,11616035
2024-02-03,42855.0,43346.0,43083.58277200244,4556187
2024-02-04,42150.1,43091.9,42826.49255272824,6753723
2024-02-05,42222.0,43552.6,42782.617264108165,12399810
2024-02-06,42516.0,43358.5,42959.95354156032,10068795
2024-02-07,42737.5,44392.8,43348.17563285271,14881971
2024-02-08,44331.8,45636.1,44959.55959020191,19205726
2024-02-09,45253.1,48233.2,46908.148233207234,32761711
2024-02-10,46855.1,48184.1,47421.67186305116,10343496
2024-02-11,47575.4,48624.7,48179.29442293945,15437081
2024-02-12,47725.0,50451.6,49070.550677318766,30741790
2024-02-13,48333.6,50450.9,49479.62109189545,29008611
2024-02-14,49252.4,52125.0,51181.84160067943,31789648
2024-02-15,51406.0,52860.0,52159.116756200085,32680349
2024-02-16,51659.1,52664.0,52098.85341829501,19542026
2024-02-17,50677.4,52236.8,51513.62421468091,16847277
2024-02-18,51214.2,52469.0,51818.0751921227,12421467
2024-02-19,51705.0,52558.1,52183.77100752908,17101169
2024-02-20,50800.0,53095.9,51905.28931063587,33136948
2024-02-21,50620.0,52424.0,51370.28297626779,32735283
2024-02-22,50956.5,52100.7,51595.97505192149,22158061
2024-02-23,50535.8,51542.0,51076.432333224926,18586917
2024-02-24,50608.0,51751.9,51194.500017577055,8572083
2024-02-25,51304.1,52022.0,51679.33521255064,10359059
2024-02-26,50919.0,54998.9,52831.59482693603,34645491
2024-02-27,54540.0,57704.4,56618.873079969344,40984270
2024-02-28,56760.0,64398.0,60195.14045426596,95386249
2024-02-29,60480.0,63790.4,62164.02263442653,63577491
2024-03-01,60888.0,63230.7,61950.45062247765,30754794
2024-03-02,61688.0,62548.9,62091.52199630561,17729079
2024-03-03,61425.6,63350.0,62342.6816881664,24528327
2024-03-04,62185.7,68663.1,65631.19397560238,75639088
2024-03-05,59237.2,69425.0,65848.61127356184,162443239
2024-03-06,62862.2,67734.9,66071.04409038287,73648796
2024-03-07,65608.5,68138.1,66919.28855506203,38089058
2024-03-08,66159.3,70485.0,68040.4443386997,68411980
2024-03-09,68059.1,68744.6,68430.48751002313,12875921
2024-03-10,68275.6,70190.0,69452.02296004264,34479630
2024-03-11,67103.0,72930.0,71205.1890753372,71374114
2024-03-12,68708.1,73245.5,71549.12545951808,72582561
2024-03-13,71412.5,73775.3,72802.04012340582,44340949
2024-03-14,68595.7,73915.7,71727.71555222424,72721674
2024-03-15,65600.3,72500.0,68453.26225428615,84420139
2024-03-16,64754.2,70109.7,67914.18473048108,39801830
2024-03-17,64576.4,68930.0,66836.35975594188,38327023
2024-03-18,66573.7,68990.8,67695.07280621104,42322845
2024-03-19,61544.7,68144.0,64327.78188666705,81871413
2024-03-20,60808.8,68156.8,63781.5008303027,75761499
2024-03-21,64564.7,68282.8,66592.23248485452,46959808
2024-03-22,62307.0,66665.2,64400.89462405948,48888135
2024-03-23,63051.2,66077.3,64619.11205025167,23852160
2024-03-24,63814.9,67734.0,65336.10484293089,28522574
2024-03-25,66434.2,71291.4,68685.76489892558,48379373
2024-03-26,69346.7,71666.5,70366.41600108705,38922371
2024-03-27,68400.0,71875.0,69758.0607950411,48610374
2024-03-28,68926.0,71635.0,70560.08430929689,31255765
2024-03-29,69075.1,70957.2,70051.09838428865,21897609
2024-03-30,69626.5,70447.6,70060.46109188446,10603053
2024-03-31,69644.0,71478.1,70587.40906094114,15195686
2024-04-01,68081.0,71396.5,69525.43135603527,38898623
2024-04-02,64582.6,69735.6,66187.20706532603,64442740
2024-04-03,64500.6,66968.7,66022.29319548489,30269471
2024-04-04,65080.3,69394.3,67270.6057538706,39332045
2024-04-05,65981.0,68750.0,67409.81744532137,39283531
2024-04-06,67507.6,69704.9,68157.57627620311,16887418
2024-04-07,68824.7,70367.8,69459.81923513705,22134730
2024-04-08,69037.0,72856.7,71347.30587382895,36158254
2024-04-09,68200.0,71771.9,69979.5562965078,42381850
2024-04-10,67470.1,71179.9,69058.40760950354,43946005
2024-04-11,69547.7,71312.4,70404.7443467964,34808035
2024-04-12,65000.0,71278.0,68846.16999609317,59781677
2024-04-13,59888.0,67947.0,65490.34284847204,78525044
2024-04-14,62130.1,65850.0,64105.46628268966,49424131
2024-04-15,62295.4,66888.0,64784.65819561188,49493264
2024-04-17,61596.1,64355.8,62809.84743922247,35588114
2024-04-19,59618.4,64494.3,62077.41602886045,58378950
2024-04-22,64498.0,67248.0,65986.73017478966,27197678
2024-04-23,65803.1,67198.3,66488.99769419148,18760532
2024-04-24,63532.1,67096.1,65417.09846907343,29256082
2024-04-25,62717.7,65249.2,64026.17011488523,24022423
2024-04-26,63228.8,64780.2,64082.18785702619,20231218
2024-04-27,62323.2,63883.6,63019.24234810544,17939890
2024-04-28,62700.5,64321.0,63590.22684561856,12546182
2024-04-29,61731.5,64170.3,62662.23799423868,24279722
2024-04-30,59100.0,64705.7,61380.71992644308,42312558
2024-05-01,56120.0,60772.8,57967.35482233922,59046535
2024-05-02,56901.4,59599.7,58368.05065800952,28150914
2024-05-03,58782.6,63332.8,60817.53389535109,34760123
2024-05-04,62493.3,64533.0,63476.49616739733,17963598
